feature_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chr
A1BG,1.0788190725522397,-0.7568949127776371,0.858351688633464,-0.8818004587171595,0.3778847235544953,0.9998596390775684,19
A1BG-AS1,2.2986962081477587,0.006893082804837642,0.8023967074524533,0.008590617011281913,0.9931457636246545,0.9998596390775684,19
A1CF,0.0,,,,,,10
A2M,17.202850121776162,-0.6960491297451787,0.5150516409597586,-1.3514161967296046,0.17656214831282924,0.9998596390775684,12
A2M-AS1,0.35476309740131856,-2.335829164716398,2.040177834612643,-1.1449144898488166,0.25224458104422876,0.9998596390775684,12
A2ML1,1.6393557314683804,1.1297192282898523,2.258810959869807,0.5001388997842329,0.6169772772525874,0.9998596390775684,12
A2ML1-AS1,0.8112381749131411,-1.242992238184535,1.6925337800150189,-0.7343972999897853,0.4627066318883809,0.9998596390775684,12
A3GALT2,0.1929568985489907,1.9307677507999934,4.2827259676825005,0.4508268251038215,0.6521143660554138,0.9998596390775684,1
A4GALT,4.225745333669604,-0.11421141292618069,0.7165451885661251,-0.15939177981883956,0.8733602148735099,0.9998596390775684,22
AAAS,2.023197870508656,0.1945719230108651,0.9192955997177141,0.2116532735179107,0.8323775444705299,0.9998596390775684,12
AACS,3.1893395430770033,0.1421604644307469,0.9713468146426597,0.14635397191583427,0.8836419610681551,0.9998596390775684,12
AADAC,0.23095424269431367,1.5030217115775184,4.312220988493114,0.3485493242550036,0.7274276778405975,0.9998596390775684,3
AADACL2-AS1,1.238203082519021,0.8806143778518475,2.5863104258864045,0.34049059580697283,0.7334871036485509,0.9998596390775684,3
AADAT,1.3910076807123501,0.4724912059746516,0.8208038948793145,0.575644449206864,0.564855530379177,0.9998596390775684,4
AAGAB,4.965385105411213,-0.06929705818860105,0.43750719145773087,-0.15839067229434575,0.8741489634321173,0.9998596390775684,15
AAK1,35.66543558229195,0.13135714863118902,0.21326060320101495,0.6159466242687804,0.5379297482185681,0.9998596390775684,2
AAMDC,10.613756157636423,0.13826912810011222,0.29501508511869556,0.46868494214281076,0.639294851650803,0.9998596390775684,11
AAMP,1.6619953766112479,-1.0497784874449831,0.6471488292483832,-1.6221592931941564,0.10476924518199938,0.9998596390775684,2
AANAT,0.4078648449661525,1.6566501114544696,4.3049058689923365,0.3848284171291873,0.700364543667984,0.9998596390775684,17
AAR2,2.327187034125404,-0.8372856661371153,0.7337427488960395,-1.1411161028805563,0.2538216110616599,0.9998596390775684,20
AARS1,8.177227767527542,0.2116240122608859,0.5047606582851865,0.41925615395588084,0.675028936926401,0.9998596390775684,16
AARS2,1.9579482227117235,0.11301805276240295,0.7113182220418505,0.15888536137592935,0.8737591941130984,0.9998596390775684,6
AARSD1,3.465898738092787,0.4765010915206328,0.6774919622373082,0.7033309885287268,0.48184950308831676,0.9998596390775684,17
AASDH,6.243711332304122,0.16454136338905673,0.4259190240976052,0.3863207654029321,0.699259123408903,0.9998596390775684,4
AASDHPPT,3.1595877065896216,-0.5729392658066786,0.5066172079176645,-1.1309115775234244,0.25809230987209986,0.9998596390775684,11
AASS,20.370999243179387,-0.9017632151365074,0.4167153580579534,-2.1639788351911364,0.03046597377916663,0.9998596390775684,7
