,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chr
MEG3,5.2733545,-0.3144430769237933,0.09638388600706599,-3.2624029798999925,0.0011047198012153361,0.010512184951399488,14
ACSL5,0.3627774,0.19909751998078537,0.19719060113430292,1.0096704347748486,0.3126532117440868,,10
KCTD3,10.165855,0.040441223865414204,0.04498342934448607,0.8990249177249835,0.3686393883904793,0.5383706136387593,1
TMEM39B,0.6110692,-0.09692889539259371,0.18436832610872156,-0.5257350730376267,0.5990722913993978,,1
TTC13,2.4823966,-0.06359605293387643,0.07894118155853587,-0.8056131372535789,0.42046594829706274,0.5878150714779481,1
MAP7D1,2.6989205,-0.23566800627018028,0.07535333582179457,-3.1275059517938106,0.0017629625034425167,0.014294894552561364,1
SETD7,3.2347403,-0.11603235803035153,0.06756631682731838,-1.7173106879112492,0.08592242024860547,0.20827594668261964,4
PHF3,10.21863,-0.07747890882480815,0.04115157433141397,-1.8827690090501084,0.05973167866933261,0.16347620586823935,6
IFI44L,1.9357157,-0.005748112610689011,0.14291298105015193,-0.04022106717284028,0.9679168820433407,0.9810382904794915,1
VPS39,3.1750429,-0.0767515092108755,0.06318758289460946,-1.2146612624649578,0.2244953128181313,0.39319121262366347,15
DEPTOR,2.4793012,0.05353742333184312,0.08201704659929357,0.6527597073009485,0.5139112033969727,0.6644030536618846,8
TRAPPC8,5.68245,-7.22377850522042e-06,0.052814988601185824,-0.0001367751597897387,0.9998908692120427,0.9999922846202488,18
TMEM164,3.1152883,0.005955312069046597,0.09026658655884012,0.06597471219502288,0.9473979583249824,0.9691133699497022,X
EFNB2,1.140492,0.03970654637032411,0.17664601008434097,0.22478031828381473,0.8221501780254036,,13
CRELD2,0.7472018,-0.06833001409000841,0.12166762279089278,-0.5616121407043974,0.5743803068001176,,22
ZNF518B,0.4894785,-0.024765766158532664,0.17254293820293914,-0.1435339308375751,0.8858685157388854,,4
SCUBE2,0.41424954,0.3512174665667169,0.21150649445585806,1.660551688827772,0.09680351859229533,,11
GRTP1,0.8261077,0.09508496265734939,0.1450059144858359,0.6557316161516793,0.5119968226493081,,13
ALDH3B1,0.34481755,0.2548488056495178,0.43225704093770145,0.5895769912658232,0.5554742811130889,,11
TAF8,1.6479987,0.08450449541987128,0.09544543655031319,0.8853696779450057,0.37595728082698376,,6
CDK19,11.058801,0.014179203007253026,0.043254458453291865,0.32780905169728053,0.7430560429077979,0.8371376984383939,6
URGCP,3.2579694,-0.09190156560806871,0.0740759158229665,-1.2406402889125745,0.21473866157463395,0.3813409289847553,7
ABAT,2.2633576,0.04955134421019009,0.09273302114314708,0.5343441160371589,0.5931034752769597,0.7266865183992631,16
POMZP3,1.6621015,0.07087923158132149,0.09586176669968076,0.7393899989698138,0.45967021341020275,,7
SRGN,2.147218,-0.13296653907548373,0.12456902513544489,-1.0674125363902314,0.28578558992653436,0.45976713234442723,10
FAM110B,3.605185,-0.35594724770994246,0.10602924597378025,-3.3570666700578435,0.0007877411529275692,0.008351797085458593,8
B3GALT5,0.16231236,0.5119081331051835,2.9010333190730653,0.17645717122226912,0.8599347930788943,,21
IRF8,0.080600664,0.395084395870923,2.9030089779582187,0.13609478953413323,0.891746346554206,,16
CHST7,0.8197756,-0.15147383621958457,0.1258481083221946,-1.2036242597447977,0.22873483849908816,,X
HMCN2,0.99047834,0.0361017592854207,0.1622213069026865,0.22254634717668417,0.8238885978849451,,9
ABCE1,1.643685,-0.0012791211187201154,0.0822888491621251,-0.015544282509043198,0.9875979564193362,,4
IGFBP4,3.3182278,-0.1727715795148888,0.08688003628973447,-1.9886223221490882,0.04674290564396876,0.13935728005817097,17
PTPN14,8.107419,-0.008416519319308589,0.05585103724235789,-0.15069584621653956,0.8802156500541376,0.9267376549673867,1
WDR53,0.6315429,0.11714033645586916,0.13076152088068774,0.8958318599150653,0.3703425711751698,,3
SPTBN4,1.1972915,0.04989285632368385,0.1467846187427679,0.3399052077187895,0.7339279147112678,,19
CERS5,3.8461602,-0.10472781361994657,0.06278604339090323,-1.6680110413697462,0.09531353495343939,0.2225142014302314,12
POFUT2,0.8050598,0.19326165429702466,0.12675752475781796,1.5246562653086593,0.12734485557010886,,21
CDKL1,4.43484,0.006348911118542543,0.06410076572435414,0.09904579214925616,0.9211019119495047,0.9530866257313241,14
DHRS7B,3.0519931,-0.06965627982744726,0.08336970350091477,-0.8355107059566664,0.4034302215987017,0.5746263316795007,17
RSL24D1,1.626368,-0.09727328578038962,0.10536832745414992,-0.9231738619246586,0.3559166078441339,,15
ZNF627,1.3739785,-0.03620865196346321,0.11101266879905973,-0.3261668452364051,0.7442981245655662,,19
TIMELESS,0.2932504,0.29060541646869914,2.9003951736595495,0.10019511103448368,0.9201894273136881,,12
CDH2,22.714405,-0.016711244397875417,0.04453746072538932,-0.3752177184261629,0.7074985538539631,0.8164099367683435,18
FKBP8,2.6575396,-0.18973594547583744,0.07889016375641288,-2.4050646676521072,0.016169604188253316,0.06784869629138071,19
IL11RA,5.361911,0.04520109886082835,0.05471319252428879,0.8261462505731548,0.40872113404044974,0.5796526135616402,9
MRPL11,0.80043554,0.268683729837605,0.16564697945442206,1.6220261348715608,0.10479775233612765,,11
PIAS1,13.12955,-0.10867491696981013,0.04561505001860582,-2.382435554175277,0.01719854203409925,0.07071159854605011,15
ZNF503-AS1,3.0450659,0.13947405466879526,0.07404024537872633,1.8837600274737842,0.05959744269497807,0.1633821321880899,10
CDKN2AIPNL,0.5807424,0.07632859287482037,0.17223820307497717,0.44315715974808273,0.6576520632725948,,5
DCC,0.9707399,0.16542649978225812,0.21944671372366664,0.753834482071888,0.4509486158250591,,18
TBCCD1,0.9433826,0.01315405736627532,0.12498182884478339,0.10524775871708135,0.9161792151532987,,3
PACSIN1,0.116120756,0.5212886361978242,2.902334841740342,0.17961009484530777,0.8574586790294894,,6
ZNF793,0.7922197,0.09457586052671117,0.15145047885176144,0.6244672268040915,0.5323207870405398,,19
KDM6B,1.1585752,-0.08263230412562382,0.15636911023751376,-0.5284439106938136,0.5971912672401547,,17
HES4,1.9211516,-0.17935232693073389,0.08777690816644836,-2.0432746000876927,0.04102526252060879,0.1278043486640394,1
USP32,10.713617,-0.08399813590388489,0.046207214464489936,-1.817857598155741,0.06908590051881301,0.179116776443897,17
EPM2AIP1,3.40394,-0.0012846342628873384,0.07078197319358435,-0.0181491728038429,0.9855198501748954,0.9915480212262973,3
VSTM4,1.5130708,-0.18217759071459375,0.10993163023199529,-1.65718993096103,0.09748108162193383,,10
ARFIP2,0.60955644,0.2129128758915772,0.1868396419058086,1.1395487259545964,0.2544743572862469,,11
RGP1,0.6242562,0.15407378236203206,0.15395466121451365,1.0007737417404494,0.3169362070259787,,9
NCAPG2,0.97034365,-0.15558082894186887,0.1460196938463475,-1.0654783943430417,0.28665949767936993,,7
UBA2,4.475403,-0.1231385024363891,0.06413989597605109,-1.919842565419302,0.05487778846695247,0.15479246849791542,19
XPOT,1.7614387,-0.05326641501401381,0.08703429698517026,-0.6120163758327347,0.5405269230327876,0.6866313980361338,12
USP19,0.49895158,0.035232185057078855,0.1648445235618784,0.21372978789831373,0.8307577806617337,,3
CD96,0.4501435,0.27723197171106845,0.44377295987726895,0.6247157821146663,0.5321576130969186,,3
SIAE,0.86772203,-0.04146194877469105,0.14058913690019953,-0.29491573594426274,0.7680582507548973,,11
ZNF440,0.7242633,-0.08721708386576804,0.16160037460870313,-0.5397084262765743,0.5893981279965285,,19
TAF11,2.5916057,-0.07811824492848592,0.07556914170084347,-1.0337320653678137,0.30126143834376995,0.47699727737763575,6
SNAP29,1.5838786,-0.1409171593854471,0.1131998026492991,-1.244853401573661,0.21318564236531057,,22
KIF20B,0.9201619,0.03186835586025717,0.13461732096482631,0.2367329525788434,0.8128639690248946,,10
RHEBL1,0.15432619,0.38251436429050023,2.900934471938524,0.1318590157725584,0.8950958061756241,,12
CD109,0.9780381,-0.29963337567143067,0.14394312566431824,-2.0816094849169042,0.03737815434179695,,6
RIF1,8.4353285,-0.09160349580785614,0.045789912308102,-2.000516952107112,0.0454444712581279,0.1366895616682562,2
CWF19L2,6.305007,-0.15293849517657823,0.049559067755792316,-3.0859841014403107,0.0020287966967064207,0.01599558809510878,11
MND1,0.11496273,0.5001398307792654,2.9030821161896805,0.17227891281136168,0.863218261623052,,4
ADAM28,0.15421587,0.41860285601525243,2.9019939992902253,0.14424663046086073,0.8853057201619748,,8
SLC15A2,0.3755353,0.09024213466759416,0.29585917755392094,0.30501718896702923,0.7603530608447067,,3
ERLIN2,0.93903595,-0.012477060638641969,0.11904250716842674,-0.1048118099612003,0.9165251386752432,,8
UBAC2,6.451296,-0.10726225566083974,0.055457417444051305,-1.9341372282445752,0.05309625773694546,0.15139928469123082,13
SH3GLB1,4.9702764,-0.02995782325390568,0.05635536316842765,-0.5315877951912331,0.5950115196506698,0.727509694952339,1
PIGN,5.6652403,-0.11057633325254598,0.06046567355083642,-1.8287455800782424,0.067437730832188,0.17655253133283597,18
FAM83B,0.7020966,0.2423749080339069,0.19543100758782966,1.240207022547228,0.21489883160328382,,6
TRIM11,0.47269452,0.06985548664783323,0.1754668697618706,0.39811211508266736,0.690547544393884,,1
MYOCD,2.6272752,-0.42769420011627557,0.1305339864572896,-3.276496885783964,0.0010510347179396812,0.010169423312905452,17
COA3,1.1939535,0.10850120237188778,0.1330278550474543,0.8156276919084559,0.41471310633767244,,17
DIXDC1,5.8833337,-0.05989099742274009,0.0612681470563848,-0.9775225839231382,0.3283105027232568,0.503753615185978,11
OGFR,2.0063438,-0.008055545790649477,0.08016454322551149,-0.10048764037722213,0.9199571947204085,0.9525528003606819,20
GON4L,7.4445586,-0.024422237915968526,0.051188679399228054,-0.4771023242364956,0.6332892597066688,0.7593930989650682,1
TPI1,5.11923,-0.15887818727852906,0.06927152784902585,-2.2935568510167244,0.021815966287575275,0.0827913763464541,12
EGFR,4.6972027,-0.4007914849664711,0.11287417679350648,-3.5507810231890717,0.0003840898405119002,0.0047552800254344295,7
ITGB3BP,3.6381655,-0.17336583803910302,0.07192215355328173,-2.4104650580390263,0.015932197374490503,0.0671953555201039,1
NCBP2,1.0823346,0.22619024758917936,0.10878107234996078,2.079316214694963,0.037588295747447625,,3
HDDC3,0.37717202,0.26005380225987096,0.26974981364923145,0.9640555399902198,0.3350180813241973,,15
SCYL3,1.4555762,0.10163134646535812,0.09314078104817237,1.091158409040981,0.27520318524089293,,1
PXDNL,13.139021,-0.4135043726827429,0.06943531003614045,-5.955246292808625,2.5968045614041143e-09,7.868317821054466e-07,8
TGFBRAP1,1.0786246,-0.09827718221903382,0.11119904304270295,-0.8837952155873604,0.3768067695830515,,2
TMEM44-AS1,1.0390964,0.07380673448039776,0.11109078489475327,0.6643821497014519,0.5064457546334018,,3
PHLPP1,9.9393635,-0.01980875026037945,0.04921216663676914,-0.40251733695421643,0.687303331845237,0.8025385525928818,18
RNFT1,1.1264745,-0.17170069744373492,0.10469992211278231,-1.6399314725256402,0.10101941613146805,,17
ATE1,10.226691,-0.11625076873148962,0.046808829179288323,-2.4835222493223035,0.013009020742698624,0.05810157673833668,10
LMOD3,1.2048681,-0.14229314675330082,0.11158772997530289,-1.2751683969625853,0.20224964453710093,,3
PPP6R3,17.547756,-0.0989126529490607,0.037267681099361,-2.6541134310274184,0.007951709170321602,0.041730163804504526,11
SMURF1,13.696065,0.031324343483783934,0.04044814197656166,0.7744321976998434,0.4386752493328251,0.6004406586802363,7
ZNF592,2.7834876,-0.1205931234795383,0.06545625843805,-1.8423467267636704,0.06542444894012975,0.17389129849876592,15
WIPF3,0.4559215,0.3463110529400091,0.2489632506805972,1.3910127377968022,0.16422156418123257,,7
ULK4,4.8613715,-0.13311615637399507,0.06939007777290415,-1.9183745089557322,0.05506354089793279,0.15501703298627523,3
RGL1,4.8999257,-0.23546867948861566,0.06230131701523688,-3.7795136727370893,0.0001571349652050878,0.0024649209664460233,1
LIFR-AS1,0.50009435,0.1033405537984123,0.18732127586961106,0.5516754747621123,0.5811707158981216,,5
JMY,2.9955413,-0.13785305299595657,0.0750127321784389,-1.837728729411352,0.06610238824524313,0.17500487921127136,5
MEMO1,0.76374674,-0.011957753856529979,0.13186705552074543,-0.09068037357252415,0.9277465659905171,,2
UBE2E1,7.8867226,-0.09553819987740633,0.04909113207118944,-1.9461396762833203,0.051637963730186275,0.1487886672646058,3
PTGES2,1.1482568,0.00033391619700199595,0.12408723035744602,0.002690979531416053,0.9978529115697575,,9
CCDC28A,1.6484029,-0.019696698818565637,0.08930955302428142,-0.22054414283330376,0.8254473975600127,,6
FBXO5,0.13132948,0.47790416360286847,2.9017329943800965,0.16469611936330628,0.869183171570308,,6
IFNAR1,3.9083595,-0.1633968119265889,0.06624892241608424,-2.4664070896180887,0.013647612918530928,0.060206365955542185,21
TSR2,0.6906153,0.1200525247794164,0.1866070062992785,0.6433441442540336,0.5200008181395042,,X
USH2A,0.9098819,-0.045895002516981934,0.13955601606885784,-0.32886437869032487,0.7422581997367863,,1
SSR4,3.2368119,-0.15817699577285704,0.08514945765903033,-1.85763949790797,0.06322022556182488,0.1696488496818522,X
MED12L,0.9723208,0.07777212375965645,0.16335281095540394,0.47609908458133965,0.6340037891443997,,3
GAPDH,22.00815,-0.22150313138581615,0.047457442806740184,-4.667405538217431,3.050269079490189e-06,0.00013719061789550796,12
CLVS1,0.81033105,0.19427647319868419,0.16381956369017858,1.1859174131735986,0.23565491574694364,,8
TMEM140,1.5417291,0.14913601828898446,0.10515193971215847,1.4182907010296473,0.1561059104535416,,7
BCAS3,25.306025,-0.04534868618130771,0.03636005163526988,-1.2472118201647078,0.2123198399483306,0.37866335767736653,17
RAB35,0.91080266,0.07487054821095361,0.13466138735641678,0.5559912138198088,0.578216861157868,,12
NAV2,29.917755,-0.07229468798957168,0.04687457610495604,-1.5423006242808026,0.12300055732946828,0.2605578951236263,11
PINK1-AS,0.3703785,0.2926783246083632,0.18440861940009703,1.5871184631200008,0.11248581700822674,,1
GPATCH2L,5.974725,0.008734242867984146,0.05453657483245478,0.16015385811846747,0.8727598760193351,0.9213320449383309,14
PRKCE,14.948361,-0.11299348751185913,0.047807140541338236,-2.3635274193852918,0.018101887073580746,0.0729269166428302,2
PARD3B,44.06862,-0.03720950567034949,0.03178113033011707,-1.1708049803089688,0.241677175499999,0.41226246842284137,2
TMEM168,5.2373443,-0.13922557740339356,0.05731689559213001,-2.429049514372341,0.015138464731044946,0.06499041122790884,7
WWC3,2.5052476,0.0617995708401434,0.07621905838028917,0.8108151970573968,0.4174718058882311,0.5855395044617897,X
SORCS3,5.3965197,0.08473173353661644,0.06683120914453056,1.2678467832801563,0.20485267154359232,0.3698139950067297,10
ORC4,4.7511888,-0.03541253439723614,0.06700516815225929,-0.5285045224685716,0.5971492090001054,0.7289456524704381,2
GDPD3,0.28443462,0.530281030510541,0.6473102100591085,0.8192069617782158,0.4126683436047728,,16
AQP11,0.89555424,0.1969622695069205,0.11604252394858541,1.6973283827761962,0.08963459409102083,,11
PSTPIP2,0.3612214,0.1983449380352047,0.2534999779297811,0.7824258591854624,0.43396434149943675,,18
SYT2,0.4596548,0.05366370301387076,0.17419553906116172,0.30806588563114073,0.7580321989675194,,1
TRIP12,11.407941,-0.05543890120210235,0.04709760251440769,-1.1771066517694388,0.23915294048245728,0.4100069917681675,2
CLTC,7.246104,-0.11907849783155527,0.05096469633989958,-2.3364898916964667,0.01946572382300902,0.07665128047131527,17
TSPYL1,1.2811646,0.01870537208246192,0.1172056903506543,0.1595944021702313,0.8732005888811516,,6
PFDN2,1.9040458,-0.2923331714253039,0.09940599639016431,-2.940800173441335,0.0032736564439311846,0.022409560223200748,1
GRIA1,12.535027,0.23688745827296617,0.05848236732080413,4.050579159587088,5.109102195153467e-05,0.0010656920774455981,5
CXCL12,2.840079,0.08458406968505691,0.08873694369146809,0.9532001685695822,0.3404886610153801,0.5153995723507252,10
TTLL7,14.557222,-0.03040693547385602,0.04052241663541592,-0.7503732007750216,0.45302996676643115,0.6132361906123546,1
