feature_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chr
A1BG,1.078819,-0.5650747724518607,0.5601039963294487,-1.0088747378254523,0.3130347119794372,,19
A1BG-AS1,2.298696,0.03275545954070552,0.7111921190501308,0.046057118271296035,0.9632647243755986,0.9997432773530365,19
A1CF,0.0,,,,,,10
A2M,17.20285,-0.6968677207981919,0.5180439320232453,-1.3451903935570517,0.17856375767527366,0.9997432773530365,12
A2M-AS1,0.3547631,-2.3394426649576787,1.856636795545234,-1.2600432516315936,0.2076537599735443,,12
A2ML1,1.639356,1.1335321695502683,2.18936952331095,0.5177436506177564,0.604637138442627,0.9997432773530365,12
A2ML1-AS1,0.81123805,-1.230036360972415,1.606170732158886,-0.7658191849375182,0.4437838972357464,,12
A3GALT2,0.19295688,1.930767682069008,4.282725959642074,0.45082680990178753,0.6521143770128188,,1
A4GALT,4.225745,-0.11926533032222375,0.6955109870480018,-0.17147871499259645,0.8638473655248121,0.9997432773530365,22
AAAS,2.023198,0.20039985589741102,0.8733814557754903,0.22945284053400533,0.818516970635803,0.9997432773530365,12
AACS,3.1893396,0.15028023467056312,0.9396330481532781,0.1599350245991439,0.8729322579925076,0.9997432773530365,12
AADAC,0.23095427,1.5030216940540833,4.312220975297672,0.3485493212579,0.7274276800910058,,3
AADACL2-AS1,1.2382032,0.8545903949570233,2.4643292527298715,0.3467841782953098,0.7287534642924556,0.9997432773530365,3
AADAT,1.3910077,0.47599967823655776,0.7778503481381048,0.6119424891637967,0.5405758085730565,0.9997432773530365,4
AAGAB,4.9653845,-0.0253942128983916,0.3379384065591327,-0.07514450090758804,0.9400997412861614,0.9997432773530365,15
AAK1,35.665432,0.1389176485374091,0.1699011485779567,0.8176380777889134,0.4135638780752795,0.9997432773530365,2
AAMDC,10.613757,0.16870357367740266,0.20463726212182826,0.8244030042630608,0.40971060839889595,0.9997432773530365,11
AAMP,1.6619953,-1.0345212051131942,0.6156458021147774,-1.680383755658784,0.09288267455008553,0.9997432773530365,2
AANAT,0.4078649,1.6459095856522428,3.969368122155341,0.4146527948530318,0.678396093622183,,17
AAR2,2.327187,-0.8336578431599985,0.7005924948010271,-1.1899325918368033,0.23407288728056785,0.9997432773530365,20
AARS1,8.177228,0.2149171648746852,0.4849283007683058,0.4431936938598488,0.6576256397978235,0.9997432773530365,16
AARS2,1.9579482,0.1262924597651048,0.6865541413042383,0.18395120234099616,0.8540517364498962,0.9997432773530365,6
AARSD1,3.4658983,0.4070468739501353,0.5850063464783559,0.695799073634828,0.4865546694717111,0.9997432773530365,17
AASDH,6.2437105,0.04956232301685576,0.32031945002948736,0.15472779755426416,0.8770359146178339,0.9997432773530365,4
AASDHPPT,3.1595879,-0.5747057839315823,0.4874742781394797,-1.1789458638208257,0.23841973331175814,0.9997432773530365,11
AASS,20.370998,-0.8996250727366071,0.40433443679986786,-2.224952887655947,0.026084401028987965,0.9115125184057662,7
AATBC,0.13491844,1.1050587442986604,3.287118651019517,0.3361785385982099,0.7367362357743737,,21
AATF,9.614939,0.4156962130565275,0.34347388786265154,1.2102702061088155,0.22617522626532527,0.9997432773530365,17
AATK,12.290906,-0.26470926828867214,0.4281425614939216,-0.6182736595142977,0.5363949620390933,0.9997432773530365,17
ABALON,0.016679732,1.5517507957296677,4.3135149572352836,0.3597416054224723,0.7190403754954249,,20
ABAT,4.700051,0.615614499524926,0.4095878822087687,1.5030095524436065,0.13283658071278912,0.9997432773530365,16
ABCA1,28.348345,-0.5256064279468502,0.28398953390813775,-1.8507950652747236,0.06419904127918015,0.9997432773530365,9
