,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chr
A1BG,2.162466,0.0064605621873669245,0.008221246015102749,0.7858373506277055,0.4319627815676219,0.8233619990492891,19
A1BG-AS1,1.4937644,0.003767723285148781,0.00684586455658086,0.5503648595453012,0.5820691460119989,,19
A2M,20.823246,0.012378426558709002,0.0045106054055369,2.7442938243975235,0.006064123353642047,0.3233777934844844,12
A2M-AS1,0.5560638,0.012698723293532969,0.01221261731807833,1.039803586962072,0.2984311623028527,,12
A2ML1,0.60866725,0.008328846460036708,0.014282608891113813,0.5831460150966292,0.5597950093090605,,12
A4GALT,1.7724824,-0.00548537480618518,0.008550339647308976,-0.6415388197954891,0.5211726677564645,,22
AAAS,1.7407802,0.0031030063838808552,0.007416617929627666,0.4183856325516062,0.6756651894272057,,12
AACS,1.7644306,0.007343245564266041,0.007411875315347903,0.9907405685927082,0.32181227607937757,,12
AADAC,0.08373814,0.013420261393947676,0.03767275358860872,0.3562325584293265,0.7216664110449869,,3
AADAT,1.1302019,0.0030045211173879453,0.005310252004712013,0.565796334095238,0.5715322388183675,,4
AAGAB,3.3515303,0.006156887006103217,0.0047181601463120865,1.3049338757430056,0.19191536488631344,0.7136033398080821,15
AAK1,17.726486,-0.006033901017995411,0.002506041294077052,-2.407742056069204,0.016051517543160563,0.41194441477237853,2
AAMDC,11.611214,0.0002097782745302331,0.00301334051898429,0.0696165180166705,0.9444988893624456,0.9933242893271578,11
AAMP,2.1053975,0.005001280296446424,0.006658913991650409,0.7510654594303986,0.45261326176219097,0.833586664460937,2
AANAT,0.10102454,0.01766406435345506,0.04793939398156103,0.3684665759489827,0.7125253632406405,,17
AAR2,1.6506411,0.0028882642996488714,0.007263789859448566,0.3976249802837958,0.6909066440083411,,20
AARD,0.13695166,0.011229614549488922,0.11784318221025805,0.09529286581427197,0.9240822091237766,,8
AARS2,1.1334513,0.007627478520924121,0.00843140396299009,0.9046510586380604,0.3656502766120979,,6
AASDH,4.3805637,0.0035179115696665577,0.003915667542523268,0.8984193707619021,0.36896201318429467,0.8005365014845741,4
AASDHPPT,2.9996042,0.007215984716580656,0.005862444454463705,1.2308832557187568,0.2183665309876578,0.7301081726457309,11
AASS,16.363157,-0.003527223030285412,0.0034506629611213997,-1.022187060871089,0.30669237362713764,0.774192560443986,7
AATF,5.0790935,0.0014962447042235732,0.004473702787318221,0.33445330978737264,0.7380375176521061,0.9409024813219841,17
AATK,8.090724,0.004877837088009025,0.005581122237703822,0.8739885779702717,0.38212447403746486,0.807195771488292,17
ABAT,3.9079847,-0.0014608383646477886,0.004249975004514657,-0.34372869560314384,0.7310503286775436,0.9370184912336115,16
ABCA1,17.958052,-0.0005882910886019704,0.004947694432328784,-0.11890206572944585,0.9053529451584714,0.9841443333903845,9
ABCA10,18.6758,0.0008040274068070679,0.005045471176171302,0.1593562580645233,0.8733881994610824,0.9757325851324349,17
ABCA12,0.5399927,0.0017960827776857694,0.020144324351999615,0.08916073561471831,0.9289541694935599,,2
ABCA13,0.46592453,0.018834149733729523,0.015270156689309342,1.2333959707771263,0.21742806753358912,,7
ABCA2,2.0441685,0.008234285229100965,0.0076916431113321386,1.0705495704772559,0.2843720088505193,0.7622045599949211,9
ABCA3,3.0328743,0.0013479414900518425,0.004730969002264417,0.2849186898934801,0.7757064367311086,0.9506220669771545,16
ABCA4,0.08720321,0.013522887230071414,0.023119274017767477,0.5849183334943342,0.5586026305255912,,1
ABCA5,6.7899656,0.009114207186671199,0.004114033374199158,2.2153945672464017,0.026732993908598783,0.4480066584998761,17
ABCA6,50.234444,0.005359326376322507,0.003922885899114278,1.3661693238471588,0.17188582348605086,0.6936187853797947,17
ABCA7,0.7522756,0.01332809090681502,0.010574032343769364,1.2604549024921845,0.2075053066858582,,19
ABCA8,74.42411,0.002914745250794162,0.0029964094290968945,0.9727459880783562,0.3306795628114533,0.7831897014420598,17
ABCA9,27.629967,0.007384329286777852,0.004409605870170266,1.674600747593055,0.09401259250276715,0.6084218868660202,17
ABCA9-AS1,10.573131,-0.006153055119314767,0.006675771604202375,-0.9216994654882201,0.35668535946223856,0.7935200309815518,17
ABCB1,1.5616235,0.03748507610705428,0.012179286117836013,3.077772846813992,0.0020855382079761867,,7
ABCB10,3.8303657,0.0010417942103960892,0.003834997662592734,0.2716544577218234,0.7858877222072843,0.9543530904380193,1
ABCB11,0.18428849,0.01233610049315019,0.030434137357630505,0.40533760980931033,0.6852293646230443,,2
ABCB4,2.2577777,0.0022920110263214906,0.006609004293610254,0.3468012615058311,0.728740629338943,0.9365820680750049,7
ABCB5,0.66949993,0.017607385399876472,0.015563901803659092,1.1312963562733964,0.25793037745807357,,7
ABCB7,8.598465,-0.0034319630121108385,0.00298481370510967,-1.1498081123909671,0.2502229132310543,0.7463152717468434,X
ABCB8,3.2149966,-0.00034779688825607524,0.004788073228107983,-0.07263817232668095,0.9420940498142374,0.9933242893271578,7
ABCB9,0.9713905,0.013590292478029974,0.009349973528294237,1.4535113320806714,0.14608183565546692,,12
ABCC1,7.931056,-0.003751044550442576,0.004038420399522259,-0.9288395410458803,0.35297224919081405,0.7933181877996613,16
ABCC10,2.2454584,-0.004561497494710726,0.005479774139451018,-0.8324243625062459,0.4051694553497017,0.8167913746066873,6
